date,area_type,avg_d_kbps,avg_u_kbps,log_light_intensity
2020-01-01,established,13815.347457627118,7219.661016949152,0.594464661422664
2020-01-02,established,14589.327586206897,8631.939655172413,0.6067674141208763
2020-01-03,established,14215.405857740585,7105.7322175732215,0.6013470022599606
2020-01-04,established,13745.393162393162,7605.807692307692,0.6086944635667941
2020-01-05,established,13774.18376068376,7309.213675213675,0.5820706650597186
2020-01-06,established,13235.444915254237,7070.622881355932,0.5632853149645538
2020-01-07,established,12829.232456140351,7130.324561403509,0.5697814806165169
2020-01-08,established,13414.297872340425,7563.791489361702,0.573967009893903
2020-01-09,established,13761.881355932202,7875.016949152542,0.5895818990402494
2020-01-10,established,14741.991416309012,8527.18025751073,0.6071700376767571
2020-01-11,established,13150.828685258964,7095.003984063745,0.6034587223773202
2020-01-12,established,12853.812,7145.776,0.5880821583058801
2020-01-13,established,12731.52479338843,7507.553719008264,0.5812272869439222
2020-01-14,established,13178.313253012047,7412.923694779117,0.6038868498898952
2020-01-15,established,14199.008,8234.072,0.591478754694553
2020-01-16,established,14542.162698412698,8545.936507936507,0.5926940210152595
2020-01-17,established,14390.948412698413,8567.412698412698,0.5855160481810662
2020-01-18,established,14738.803347280334,7493.581589958159,0.5567603958585694
2020-01-19,established,13178.054166666667,7017.9875,0.5835527081172827
2020-01-20,established,13614.80971659919,8275.607287449393,0.6303605877141997
2020-01-21,established,14280.361445783132,8033.819277108434,0.6104879417693835
2020-01-22,established,14991.394422310757,7959.298804780877,0.6084987882391044
2020-01-23,established,14996.68619246862,8119.589958158996,0.5976688722120089
2020-01-24,established,14765.477178423236,7789.331950207469,0.5712886134836888
2020-01-25,established,13908.63779527559,7719.677165354331,0.5814276777402239
2020-01-26,established,14128.74074074074,8186.288065843622,0.5875412098068475
2020-01-27,established,14817.915662650603,7792.987951807229,0.5813599917298062
2020-01-28,established,14077.659663865546,8140.365546218487,0.624821870064183
2020-01-29,established,14657.775862068966,8959.198275862069,0.6025492173072979
2020-01-30,established,13871.535269709544,8376.751037344398,0.5996953895239212
2020-01-31,established,12681.936170212766,8133.557446808511,0.6399400809453508
