date,area_type,avg_d_kbps,avg_u_kbps,log_light_intensity
2020-05-19,emerging,15890.0,7412.0,0.009950330853168083
2020-05-20,emerging,9081.0,2024.0,0.05826890812397577
2020-05-21,emerging,9922.0,6285.0,0.05826890812397577
2020-05-22,emerging,37119.0,19880.5,0.05826890812397577
2020-05-24,emerging,5800.5,1547.0,0.05343968081354805
2020-05-26,emerging,30354.0,14290.0,0.06765864847381481
2020-05-27,emerging,8447.5,2417.0,0.039220713153281295
2020-05-28,emerging,6872.0,1937.0,
2020-05-29,emerging,1340.0,2692.0,0.019802627296179712
2020-05-31,emerging,11482.5,5009.0,0.05826890812397577
2020-06-02,emerging,2142.0,2450.0,0.0295588022415444
2020-06-03,emerging,21663.5,24101.0,0.0629637782988953
2020-06-04,emerging,12284.5,12678.0,0.019802627296179712
2020-06-05,emerging,14670.0,6406.5,0.0391744832054882
2020-06-06,emerging,22635.0,22839.0,0.009950330853168083
2020-06-07,emerging,13734.0,8441.5,0.014876479074673897
2020-06-09,emerging,26813.0,13823.0,0.05826890812397577
2020-06-10,emerging,10011.5,4273.5,0.0629637782988953
2020-06-11,emerging,11151.0,3716.0,0.06765864847381481
2020-06-12,emerging,26237.0,12133.0,0.06765864847381481
2020-06-13,emerging,8094.0,21311.0,0.06765864847381481
2020-06-14,emerging,6306.0,1932.0,0.039220713153281295
2020-06-15,emerging,34673.5,16705.0,0.0582244063216234
2020-06-16,emerging,25438.0,28401.5,0.04874481063862853
2020-06-17,emerging,12204.0,4545.666666666667,0.058239240255740864
2020-06-18,emerging,15547.5,4144.0,0.05352953614670389
2020-06-19,emerging,21561.5,3822.0,0.048790164169432
2020-06-20,emerging,12803.5,2419.0,0.04860872535767961
2020-06-21,emerging,23895.5,8375.5,0.01975456654735624
2020-06-22,emerging,39995.0,18500.5,0.01975456654735624
2020-06-23,emerging,31994.0,26425.0,
2020-06-24,emerging,22337.5,18293.5,0.019802627296179712
2020-06-25,emerging,5832.0,1443.0,0.0391744832054882
2020-06-26,emerging,23948.0,13248.0,0.039220713153281295
2020-06-27,emerging,11786.0,2119.0,
2020-06-28,emerging,8355.0,9227.0,
2020-06-29,emerging,3641.6666666666665,8804.666666666666,0.06765864847381481
2020-07-01,emerging,30171.0,11823.0,0.06765864847381481
2020-07-02,emerging,11529.0,3217.0,0.05826890812397577
2020-07-03,emerging,16530.0,10762.5,0.03880448966349145
2020-07-04,emerging,8649.666666666666,12340.0,0.04560034716404843
2020-07-05,emerging,12085.6,6869.0,0.04102219750617921
2020-07-06,emerging,18689.0,7719.0,0.04373063788499726
2020-07-07,emerging,27391.5,23544.5,0.03903576771007774
2020-07-08,emerging,9933.5,5845.5,0.0391744832054882
2020-07-09,emerging,17584.0,7489.666666666667,0.03909741619114559
2020-07-10,emerging,817.0,3484.0,0.039220713153281295
2020-07-11,emerging,27623.0,38170.0,0.039220713153281295
2020-07-12,emerging,5905.0,10492.0,0.05826890812397577
2020-07-14,emerging,18736.5,16178.0,0.04373063788499726
2020-07-18,emerging,18729.0,3929.0,0.048790164169432
2020-07-19,emerging,20519.0,4090.0,0.06765864847381481
2020-07-20,emerging,10298.0,2135.0,0.039220713153281295
2020-07-21,emerging,18889.0,4302.0,0.048790164169432
2020-07-23,emerging,37650.0,19078.0,0.05826890812397577
2020-07-24,emerging,7010.0,2596.0,0.039220713153281295
2020-07-25,emerging,14694.0,3217.0,0.019802627296179712
2020-07-26,emerging,9591.0,14488.0,0.048790164169432
2020-07-29,emerging,6307.0,4634.0,0.0295588022415444
2020-07-30,emerging,6497.0,5370.0,0.039220713153281295
2020-08-05,emerging,19772.0,20392.0,0.039220713153281295
2020-08-06,emerging,1982.0,1408.0,0.06765864847381481
2020-08-13,emerging,13852.0,2993.5,0.04860872535767961
2020-08-17,emerging,19426.5,10668.5,0.024680714768862057
2020-08-19,emerging,20285.0,4202.0,0.0295588022415444
2020-08-20,emerging,8852.0,2085.0,0.019802627296179712
2020-08-24,emerging,8038.0,9541.0,0.0295588022415444
2020-08-25,emerging,2427.0,2829.0,0.009950330853168083
2020-08-26,emerging,10853.0,1505.0,0.039220713153281295
2020-08-28,emerging,10822.5,3288.0,0.0629637782988953
2020-08-29,emerging,1062.0,1452.0,0.039220713153281295
2020-08-31,emerging,23753.0,39615.0,0.05826890812397577
2020-09-02,emerging,27927.0,25871.0,0.009950330853168083
2020-09-03,emerging,14532.0,5771.666666666667,0.061369153705687206
2020-09-05,emerging,20757.0,13205.0,0.039220713153281295
2020-09-07,emerging,1496.0,361.0,0.05826890812397577
2020-09-08,emerging,1977.0,655.0,0.009950330853168083
2020-09-09,emerging,10306.0,2595.0,0.05826890812397577
2020-09-10,emerging,46016.0,19810.0,0.048790164169432
2020-09-11,emerging,9133.5,6392.5,0.06765864847381481
2020-09-12,emerging,11217.666666666666,2965.0,0.048790164169432
2020-09-13,emerging,9531.0,2910.0,
2020-09-14,emerging,5304.0,1395.0,
2020-09-15,emerging,19285.0,19792.0,
2020-09-18,emerging,3110.0,1089.0,
2020-09-26,emerging,15603.0,4026.0,
2020-09-28,emerging,15827.0,9598.0,0.039220713153281295
2020-09-29,emerging,3861.0,5675.0,0.009950330853168083
2020-09-30,emerging,20576.0,5918.0,0.06765864847381481
2020-10-04,emerging,38860.0,58058.0,0.05826890812397577
2020-10-05,emerging,5025.0,1340.0,0.014876479074673897
2020-10-06,emerging,9371.5,1489.0,0.03903576771007774
2020-10-07,emerging,21921.0,4090.0,0.05826890812397577
2020-10-08,emerging,10911.0,2358.0,0.06765864847381481
2020-10-09,emerging,15656.0,11524.0,0.0582244063216234
